Invoice No.,Category,Item Name,Final Total,Qty.,Time of day
21474,Sweet,Choco-crinkle-cookies (COMBO 3 PCS),76.68,1,Night
21474,Cold Coffee,Classic Frappe (350 ML),301.19,1,Night
21474,Hot Chocolate,Hot Chocolate (250 ML),295.71,1,Night
21474,Food Menu,Baked Vada Pav,87.61,1,Night
21474,Food Menu,Hyderabadi Chicken Keema Pav,87.61,1,Night
21474,Food Menu,Tartlets (chocolate Tartlet),54.76,1,Night
21474,Hot Coffee,Cappucino (350 ML),547.64,2,Night
21473,Food Menu,Mix Tartlet 6 Pcs (chocolate Tartlet),87.64,2,Night
21473,Food Menu,Mix Tartlet 6 Pcs (salted Caramel tartlet),87.64,2,Night
21473,Food Menu,Mix Tartlet 6 Pcs (kodai cheese tartlet),87.64,2,Night
21472,Food Menu,Baked Vada Pav,87.61,1,Night
21471,Hot Coffee,South Indian Filter Kaapi (250 ML),202.61,1,Night
21471,Cold Coffee,Madagascar Chocochip Frappe (450 ML),410.71,1,Night
21471,Cold Coffee,Iced Mocha (350 ML),312.15,1,Night
21470,Cold Coffee,Origanal South Indian Frappe (350 ML),334.05,1,Night
21470,Hot Coffee,Kaapicino (350 ML),262.85,1,Night
21469,Food Menu,Tartlets (Filter Kaapi Tartlet),54.76,1,Night
21469,Food Menu,Berliners (Dark Choco Mousse Berliner),76.68,1,Night
21469,Food Menu,Baked Vada Pav,87.61,1,Night
21469,Food Menu,Baked Pav Bhaji,87.61,1,Night
21468,Cold Coffee,Hazelnut Frappe (450 ML),309.54,1,Night
21468,Food Menu,Berliners (Blueberry Cheese Cake Berliner),61.92,1,Night
21467,Hot Coffee,South Indian Filter Kaapi (250 Ml),132,1,Night
21466,Food Menu,Chicken Calzone,76.68,1,Night
21466,Cold Coffee,Classic Frappe (350 ML),301.19,1,Night
21466,Cold Coffee,Iced Latte (350 ML),492.86,2,Night
21466,Extra Toppings,Add On Syrup (Add On Vanilla Syrup),109.52,2,Night
21465,Hot Coffee,Flat White 250 Ml,120,1,Night
21464,Cold Coffee,Hazelnut Frappe (450 ML),383.32,1,Night
21464,Cold Coffee,Madagascar Chocochip Frappe (350 ML),366.92,1,Night
21464,Hot Coffee,Cafe Latte (250 ML),246.44,1,Night
21464,Hot Coffee,Cafe Latte (350 ML),273.81,1,Night
21464,Sweet,Choco-crinkle-cookies (COMBO 3 PCS),76.68,1,Night
21463,Food Menu,Tartlets (Filter Kaapi Tartlet),54.76,1,Night
21463,Food Menu,Berliners (Lotus Biscoff Berliner),76.68,1,Night
21462,Hot Coffee,Sea Salt Dark Mocha (350 ML),328.56,1,Night
21462,Cold Coffee,Hazelnut Frappe (350 ML),334.05,1,Night
21461,Cold Coffee,Vietnamese (350 ML),668.09,2,Night
21461,Food Menu,Calzones Veg (Calzone Veg),153.32,2,Night
21461,Hot Chocolate,Madagascar Hot Chocolate (250 ML),328.56,1,Night
21461,Cold Coffee,Origanal South Indian Frappe (350 ML),334.05,1,Night
21461,Food Menu,Berliners (Dark Choco Mousse Berliner),76.68,1,Night
21461,Food Menu,Berliners (Blueberry Cheese Cake Berliner),76.68,1,Night
