ORANGE JUICE,,,,,,,,,,,
Cappucino (250 ML),Hazelnut Frappe (350 ML),Cappucino (250 ML),Papparoti (Add On Nutella sauce),,,,,,,,
Iced Americano (350 ML),Chicken Calzone,,,,,,,,,,
South Indian Filter Kaapi (250 ML),Cafe Mocha (250 ML),Choco-crinkle-cookies (COMBO 3 PCS),Baked Vada Pav,,,,,,,,
Nariyal Irish Cream Frappe (350 ML),,,,,,,,,,,
Double Restritto 44 Ml,,,,,,,,,,,
Origanal South Indian Frappe (350 ML),ALMOND MILK (200 ML),Chicken Calzone,Strawberry White Chocolate Ganache With Rosella Jam Macaroon,,,,,,,,
South Indian Filter Kaapi (150 ML),Papparoti (Plain),,,,,,,,,,
Chicken Calzone,Baked Pav Bhaji,,,,,,,,,,
South Indian Filter Kaapi (150 ML),Tartlets (Kacha Nimbu Tartlet),,,,,,,,,,
Iced Americano (350 ML),Add On Syrup (Add On Irish Syrup),,,,,,,,,,
Classic Frappe (350 ML),,,,,,,,,,,
Iced Latte (350 ML),ALMOND MILK (200 ML),Add On Syrup (Add On hazelnuts Syrup),Add On Syrup (Add On Vanilla Syrup),Nariyal Irish Cream Frappe (350 ML),,,,,,,
Calzones Veg (Calzone Paneer),Baked Vada Pav,South Indian Filter Kaapi (150 ML),,,,,,,,,
Hot Chocolate (250 Ml),,,,,,,,,,,
South Indian Filter Kaapi (150 ML),Origanal South Indian Frappe (350 ML),Cafe Latte (250 ML),Add On Syrup (Add On Vanilla Syrup),Papparoti (Plain),,,,,,,
Classic Frappe (450 ML),,,,,,,,,,,
Origanal South Indian Frappe (350 ML),Cappucino (250 ML),OAT MILK (200 ML),Pour Over,South Indian Filter Kaapi (150 ML),,,,,,,
Classic Frappe (350 ML),,,,,,,,,,,
Baked Vada Pav,Baked Pav Bhaji,Hazelnut Frappe (450 Ml),,,,,,,,,
Cafe Latte (250 ML),,,,,,,,,,,
Cappucino (350 Ml),,,,,,,,,,,
Classic Frappe (350 ML),Bon Bon (350 ML),Baked Vada Pav,Hot Chocolate (250 ML),,,,,,,,
Spicy Banana Chips 60 Gm,,,,,,,,,,,
Origanal South Indian Frappe (350 ML),OAT MILK (200 ML),,,,,,,,,,
Cappucino (250 ML),Baked Vada Pav,,,,,,,,,,
Americano (250 ML),,,,,,,,,,,
Cold Brew,,,,,,,,,,,
Papparoti (Add On Nutella sauce),Americano (250 ML),,,,,,,,,,
Baked Vada Pav,,,,,,,,,,,
Kaapicino (250 ML),Cafe Latte (250 ML),OAT MILK (200 ML),Add On Syrup (Add On hazelnuts Syrup),,,,,,,,
MANGO JUICE,,,,,,,,,,,
Americano (350 ML),,,,,,,,,,,
